,frameNumber,dateTime,lat,lon
0,1,2019-09-26 10:18:35.957,-34.593146,-58.484789
1,2,2019-09-26 10:18:35.997,-34.593146,-58.484789
2,3,2019-09-26 10:18:36.037,-34.593146,-58.484789
3,4,2019-09-26 10:18:36.077,-34.593146,-58.484789
4,5,2019-09-26 10:18:36.117,-34.593146,-58.484789
5,6,2019-09-26 10:18:36.157,-34.593146,-58.484789
6,7,2019-09-26 10:18:36.197,-34.593146,-58.484789
7,8,2019-09-26 10:18:36.237,-34.593146,-58.484789
8,9,2019-09-26 10:18:36.277,-34.593146,-58.484789
9,10,2019-09-26 10:18:36.317,-34.593146,-58.484789
10,11,2019-09-26 10:18:36.357,-34.593145,-58.484789
11,12,2019-09-26 10:18:36.397,-34.593145,-58.484789
12,13,2019-09-26 10:18:36.437,-34.593145,-58.484789
13,14,2019-09-26 10:18:36.477,-34.593145,-58.484789
14,15,2019-09-26 10:18:36.517,-34.593145,-58.484789
15,16,2019-09-26 10:18:36.557,-34.593145,-58.484789
16,17,2019-09-26 10:18:36.597,-34.593145,-58.484789
17,18,2019-09-26 10:18:36.637,-34.593145,-58.484789
18,19,2019-09-26 10:18:36.677,-34.593144,-58.484789
19,20,2019-09-26 10:18:36.717,-34.593144,-58.484789
20,21,2019-09-26 10:18:36.757,-34.593144,-58.484789
21,22,2019-09-26 10:18:36.797,-34.593144,-58.484789
22,23,2019-09-26 10:18:36.837,-34.593144,-58.484789
23,24,2019-09-26 10:18:36.877,-34.593144,-58.484789
24,25,2019-09-26 10:18:36.917,-34.593144,-58.484789
25,26,2019-09-26 10:18:36.957,-34.593143,-58.484789
26,27,2019-09-26 10:18:36.997,-34.593143,-58.484789
27,28,2019-09-26 10:18:37.037,-34.593143,-58.484789
28,29,2019-09-26 10:18:37.077,-34.593143,-58.484789
29,30,2019-09-26 10:18:37.117,-34.593143,-58.484789
30,31,2019-09-26 10:18:37.157,-34.593142,-58.484789
31,32,2019-09-26 10:18:37.197,-34.593142,-58.484789
32,33,2019-09-26 10:18:37.237,-34.593142,-58.484789
33,34,2019-09-26 10:18:37.277,-34.593142,-58.484789
34,35,2019-09-26 10:18:37.317,-34.593142,-58.484789
35,36,2019-09-26 10:18:37.357,-34.593141,-58.48479
36,37,2019-09-26 10:18:37.397,-34.593141,-58.48479
37,38,2019-09-26 10:18:37.437,-34.593141,-58.48479
38,39,2019-09-26 10:18:37.477,-34.593141,-58.48479
39,40,2019-09-26 10:18:37.517,-34.593141,-58.48479
40,41,2019-09-26 10:18:37.557,-34.59314,-58.48479
41,42,2019-09-26 10:18:37.597,-34.59314,-58.48479
42,43,2019-09-26 10:18:37.637,-34.59314,-58.48479
43,44,2019-09-26 10:18:37.677,-34.593139,-58.48479
44,45,2019-09-26 10:18:37.717,-34.593139,-58.48479
45,46,2019-09-26 10:18:37.757,-34.593138,-58.48479
46,47,2019-09-26 10:18:37.797,-34.593138,-58.48479
47,48,2019-09-26 10:18:37.837,-34.593138,-58.48479
48,49,2019-09-26 10:18:37.877,-34.593138,-58.48479
49,50,2019-09-26 10:18:37.917,-34.593138,-58.48479
